time,node,mean_occupancy,max_occupancy,min_largest_free_block,mean_fragmentation,max_fragmentation
55,2,0.8875,0.975,3,0.7563,0.8286
55,3,0.7031,0.9563,3,0.8244,0.9016
55,4,0.7,0.8438,6,0.8112,0.9302
55,5,0.8375,0.9187,6,0.8244,0.9109
55,6,0.8406,0.9938,2,0.4972,0.7643
55,7,0.825,0.9938,2,0.4847,0.8291
55,8,0.682,0.9469,5,0.8449,0.9406
55,9,0.7,0.8812,6,0.8483,0.8676
55,10,0.5766,0.9563,3,0.5743,0.8487
55,11,0.6398,0.8531,6,0.8471,0.8855
55,12,0.3125,0.4969,18,0.6924,0.8882
55,13,0.3656,0.8438,9,0.4864,0.8421
55,14,0.7359,0.975,3,0.7543,0.8966
55,15,0.5406,0.8812,6,0.5663,0.8469
55,16,0.4266,0.5062,39,0.7259,0.7532
55,17,0.6188,0.7594,8,0.8403,0.8961
55,18,0.4688,0.6375,12,0.8545,0.8966
55,19,0.4547,0.5437,20,0.8133,0.863
55,20,0.1875,0.1875,63,0.7519,0.7577
55,21,0.1594,0.1781,57,0.7709,0.7927
55,22,0.3234,0.4688,21,0.7956,0.8765
55,23,0.275,0.3937,48,0.6105,0.7554
55,24,0.2594,0.4594,39,0.4446,0.8368
55,25,0.3375,0.6375,27,0.7635,0.8541
55,26,0.2297,0.3375,36,0.4151,0.8302
55,27,0.2391,0.3656,35,0.4191,0.8276
60,0,0.6813,0.7031,9,0.866,0.9053
60,1,0.6319,0.8719,6,0.8333,0.8966
60,2,0.8906,0.9563,3,0.8122,0.9118
60,3,0.6961,0.9,3,0.8722,0.9084
60,4,0.65,0.7594,15,0.7709,0.8558
60,5,0.8219,0.9187,3,0.868,0.8909
60,6,0.8438,0.975,3,0.7762,0.88
60,7,0.8312,0.9938,2,0.4825,0.8224
60,8,0.6492,0.8812,6,0.8555,0.9388
60,9,0.675,0.8906,3,0.8766,0.9143
60,10,0.5672,0.9844,3,0.4869,0.8279
60,11,0.6281,0.7781,6,0.8835,0.9155
60,12,0.3062,0.4688,27,0.7132,0.8412
60,13,0.3638,0.825,9,0.5021,0.8852
60,14,0.7266,0.9469,3,0.7694,0.8235
60,15,0.5312,0.8344,6,0.5763,0.8868
60,16,0.4078,0.5062,39,0.6481,0.7532
60,17,0.6375,0.7594,9,0.8448,0.8831
60,18,0.4547,0.6375,17,0.8495,0.8534
60,19,0.4594,0.5813,17,0.8517,0.8731
60,20,0.1781,0.1969,66,0.7431,0.7546
60,21,0.15,0.15,39,0.5809,0.8566
60,22,0.3328,0.4875,21,0.8523,0.872
60,23,0.2656,0.3469,48,0.5619,0.794
60,24,0.2437,0.4219,38,0.4684,0.843
60,25,0.3375,0.6281,24,0.7836,0.8723
60,26,0.2344,0.3469,33,0.4211,0.8421
60,27,0.2203,0.3375,32,0.435,0.8491
65,0,0.6875,0.7312,9,0.8172,0.8953
65,1,0.6394,0.8625,6,0.799,0.8659
65,2,0.9,0.9844,3,0.6509,0.9277
65,3,0.7055,0.8906,3,0.8621,0.9143
65,4,0.6469,0.7219,9,0.8021,0.9109
65,5,0.825,0.9656,3,0.7848,0.8881
65,6,0.8469,0.9938,2,0.5891,0.8966
65,7,0.8375,0.9844,3,0.5406,0.8219
65,8,0.6656,0.7969,9,0.8635,0.8989
65,9,0.7031,0.9,3,0.8694,0.9062
65,10,0.5789,0.9938,2,0.3966,0.8318
65,11,0.6352,0.7969,6,0.8808,0.925
65,12,0.3125,0.4688,21,0.7112,0.8765
65,13,0.36,0.8438,8,0.4999,0.84
65,14,0.7359,0.9844,3,0.6779,0.85
65,15,0.5187,0.8156,9,0.5663,0.8515
65,16,0.4078,0.5062,18,0.7145,0.8861
65,17,0.6094,0.7125,12,0.8209,0.8696
65,18,0.4406,0.6375,14,0.7909,0.8793
65,19,0.4453,0.5531,27,0.8207,0.8302
65,20,0.1594,0.1781,80,0.5152,0.6958
65,21,0.1359,0.15,72,0.5847,0.7353
65,22,0.3234,0.4781,12,0.8682,0.9281
65,23,0.2531,0.3375,45,0.5441,0.8093
65,24,0.2469,0.4219,38,0.4576,0.843
65,25,0.3539,0.6469,15,0.8,0.8673
65,26,0.2391,0.3469,33,0.4211,0.8421
65,27,0.2156,0.3469,30,0.4487,0.8565
70,0,0.6969,0.75,14,0.7625,0.825
70,1,0.6544,0.8812,5,0.7715,0.9
70,2,0.9125,0.9844,3,0.573,0.9189
70,3,0.7172,0.9375,6,0.8299,0.88
70,4,0.6438,0.7219,18,0.7951,0.8487
70,5,0.8281,0.9938,2,0.5148,0.8905
70,6,0.8344,0.9844,3,0.7052,0.8657
70,7,0.825,0.9844,3,0.5072,0.7215
70,8,0.6914,0.8625,9,0.8528,0.9062
70,9,0.7062,0.8812,6,0.8453,0.8615
70,10,0.5648,0.9938,2,0.4426,0.8966
70,11,0.6445,0.8063,9,0.8702,0.9204
70,12,0.3219,0.5156,21,0.7091,0.8645
70,13,0.3638,0.8906,8,0.4923,0.8398
70,14,0.7289,0.9844,3,0.6616,0.7692
70,15,0.5094,0.7406,9,0.5836,0.8953
70,16,0.3937,0.4875,38,0.6855,0.7683
70,17,0.5953,0.7219,14,0.7655,0.8427
70,18,0.4266,0.6281,17,0.7411,0.8571
70,19,0.4547,0.5531,21,0.8416,0.8531
70,20,0.1547,0.1781,48,0.5418,0.8175
70,21,0.15,0.1594,51,0.6161,0.8104
70,22,0.3281,0.4688,21,0.8459,0.8765
70,23,0.2563,0.375,48,0.498,0.8041
70,24,0.2531,0.4313,45,0.3896,0.8117
70,25,0.3586,0.6844,15,0.792,0.8515
70,26,0.2484,0.3563,45,0.3908,0.7816
70,27,0.2297,0.3563,30,0.4376,0.8544
75,0,0.6906,0.7312,14,0.8224,0.8372
75,1,0.63,0.8625,6,0.8143,0.8636
75,2,0.9125,0.9938,2,0.5476,0.9155
75,3,0.7125,0.9656,3,0.8409,0.8929
75,4,0.6312,0.6937,15,0.8225,0.8707
75,5,0.8094,0.9844,3,0.6836,0.8816
75,6,0.8094,0.9563,3,0.8166,0.8696
75,7,0.8219,0.9938,2,0.4829,0.7273
75,8,0.7312,0.8625,6,0.8749,0.8992
75,9,0.6969,0.8719,6,0.866,0.8831
75,10,0.593,0.9938,2,0.4317,0.8846
75,11,0.6586,0.8438,9,0.8295,0.8909
75,12,0.325,0.5344,24,0.6145,0.8389
75,13,0.3712,0.8906,8,0.4959,0.865
75,14,0.7406,0.9656,3,0.7061,0.7385
75,15,0.5312,0.7875,12,0.5284,0.85
75,16,0.3703,0.4313,38,0.6264,0.7912
75,17,0.6,0.7219,15,0.8439,0.8563
75,18,0.4313,0.6469,12,0.7616,0.8938
75,19,0.4547,0.5719,12,0.8642,0.9124
75,20,0.1594,0.1781,86,0.591,0.673
75,21,0.1547,0.1594,51,0.6129,0.8104
75,22,0.3281,0.45,30,0.8321,0.8346
75,23,0.2875,0.4031,27,0.6049,0.8826
75,24,0.2875,0.4969,45,0.4865,0.7391
75,25,0.3703,0.6656,18,0.7825,0.8324
75,26,0.2484,0.3656,48,0.3872,0.7635
75,27,0.2297,0.3656,27,0.4335,0.867
80,0,0.7281,0.825,9,0.8196,0.8393
80,1,0.6225,0.8344,12,0.7188,0.8168
80,2,0.9188,0.975,3,0.7679,0.8929
80,3,0.682,0.8812,6,0.8717,0.8868
80,4,0.6375,0.7312,12,0.8272,0.8909
80,5,0.8344,0.9656,3,0.8336,0.904
80,6,0.7969,0.9656,3,0.794,0.8421
80,7,0.8438,0.9938,2,0.1849,0.5548
